assessmentId,internalTaxonId,scientificName,code,name,presence,origin,seasonality,formerlyBred
2108120,192521,Conus retifer,MH,Marshall Islands,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,ID,Indonesia,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,TV,Tuvalu,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,JP,Japan,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,NU,Niue,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,TO,Tonga,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,NR,Nauru,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,TL,Timor-Leste,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,BN,Brunei Darussalam,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,KI,Kiribati,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,FJ,Fiji,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,FM,"Micronesia, Federated States of ",Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,KE,Kenya,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,YT,Mayotte,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,MU,Mauritius,Extant,Native,"[""Resident""]",No
2108120,192521,Conus retifer,TW,"Taiwan, Province of China",Extant,Native,"[""Resident""]",No
3466788,132863,Acropora prostrata,SB,Solomon Islands,Extant,Native,,
3466788,132863,Acropora prostrata,TV,Tuvalu,Extant,Native,,
3466788,132863,Acropora prostrata,CK,Cook Islands,Extant,Native,,
3466788,132863,Acropora prostrata,TW,"Taiwan, Province of China",Extant,Native,,
3466788,132863,Acropora prostrata,PG,Papua New Guinea,Extant,Native,,
3466788,132863,Acropora prostrata,KH,Cambodia,Extant,Native,,
3466788,132863,Acropora prostrata,KI,Kiribati,Extant,Native,,
3466788,132863,Acropora prostrata,FJ,Fiji,Extant,Native,,
3466788,132863,Acropora prostrata,ID,Indonesia,Extant,Native,,
3466788,132863,Acropora prostrata,AS,American Samoa,Extant,Native,,
3466788,132863,Acropora prostrata,UM,United States Minor Outlying Islands,Extant,Native,,
3466788,132863,Acropora prostrata,TK,Tokelau,Extant,Native,,
3466788,132863,Acropora prostrata,WS,Samoa,Extant,Native,,
3466788,132863,Acropora prostrata,MY,Malaysia,Extant,Native,,
3466788,132863,Acropora prostrata,SG,Singapore,Extant,Native,,
3466788,132863,Acropora prostrata,VN,Viet Nam,Extant,Native,,
3466788,132863,Acropora prostrata,TH,Thailand,Extant,Native,,
3466788,132863,Acropora prostrata,AU,Australia,Extant,Native,,
3466788,132863,Acropora prostrata,TO,Tonga,Extant,Native,,
3466788,132863,Acropora prostrata,NU,Niue,Extant,Native,,
3466788,132863,Acropora prostrata,PH,Philippines,Extant,Native,,
3466788,132863,Acropora prostrata,WF,Wallis and Futuna,Extant,Native,,
3468128,132866,Montipora angulata,SB,Solomon Islands,Extant,Native,,
3468128,132866,Montipora angulata,TV,Tuvalu,Extant,Native,,
3468128,132866,Montipora angulata,TW,"Taiwan, Province of China",Extant,Native,,
3468128,132866,Montipora angulata,CK,Cook Islands,Extant,Native,,
3468128,132866,Montipora angulata,PG,Papua New Guinea,Extant,Native,,
3468128,132866,Montipora angulata,UM,United States Minor Outlying Islands,Extant,Native,,
3468128,132866,Montipora angulata,CX,Christmas Island,Extant,Native,,
3468128,132866,Montipora angulata,AS,American Samoa,Extant,Native,,
3468128,132866,Montipora angulata,KH,Cambodia,Extant,Native,,
3468128,132866,Montipora angulata,FJ,Fiji,Extant,Native,,
3468128,132866,Montipora angulata,KI,Kiribati,Extant,Native,,
3468128,132866,Montipora angulata,ID,Indonesia,Extant,Native,,
3468128,132866,Montipora angulata,NU,Niue,Extant,Native,,
3468128,132866,Montipora angulata,TO,Tonga,Extant,Native,,
3468128,132866,Montipora angulata,TH,Thailand,Extant,Native,,
3468128,132866,Montipora angulata,VN,Viet Nam,Extant,Native,,
3468128,132866,Montipora angulata,TK,Tokelau,Extant,Native,,
3468128,132866,Montipora angulata,JP,Japan,Extant,Native,,
3468128,132866,Montipora angulata,WS,Samoa,Extant,Native,,
3468128,132866,Montipora angulata,MY,Malaysia,Extant,Native,,
3468128,132866,Montipora angulata,IN,India,Extant,Native,,
3468128,132866,Montipora angulata,SG,Singapore,Extant,Native,,
3468128,132866,Montipora angulata,AU,Australia,Extant,Native,,
3468128,132866,Montipora angulata,MM,Myanmar,Extant,Native,,
3468128,132866,Montipora angulata,PW,Palau,Extant,Native,,
3468128,132866,Montipora angulata,PH,Philippines,Extant,Native,,
3468128,132866,Montipora angulata,WF,Wallis and Futuna,Extant,Native,,
3468128,132866,Montipora angulata,CC,Cocos (Keeling) Islands,Extant,Native,,
